,Date,Rank,Gross,% Change,Theaters,Per Theater,Total Gross,Week,movie
0,"Jun 13, 2008",1,"$55,414,050",,3505,"$15,810","$55,414,050",1,Incredible-Hulk-The
1,"Jun 20, 2008",2,"$22,136,060",-60%,3508,"$6,310","$97,055,430",2,Incredible-Hulk-The
2,"Jun 27, 2008",5,"$9,577,245",-57%,3349,"$2,860","$115,859,210",3,Incredible-Hulk-The
3,"Jul 4, 2008",6,"$4,899,280",-49%,3043,"$1,610","$124,841,395",4,Incredible-Hulk-The
4,"Jul 11, 2008",9,"$2,324,345",-53%,1945,"$1,195","$129,905,435",5,Incredible-Hulk-The
5,"Jul 18, 2008",15,"$626,515",-73%,656,$955,"$131,767,165",6,Incredible-Hulk-The
6,"Jul 25, 2008",16,"$423,150",-32%,403,"$1,050","$132,541,330",7,Incredible-Hulk-The
7,"Aug 1, 2008",17,"$477,840",+13%,362,"$1,320","$133,283,170",8,Incredible-Hulk-The
8,"Aug 8, 2008",21,"$308,790",-35%,332,$930,"$133,844,335",9,Incredible-Hulk-The
9,"Aug 15, 2008",34,"$180,120",-42%,228,$790,"$134,189,490",10,Incredible-Hulk-The
10,"Aug 22, 2008",42,"$103,435",-43%,151,$685,"$134,387,500",11,Incredible-Hulk-The
11,"Aug 29, 2008",43,"$73,495",-29%,100,$735,"$134,500,425",12,Incredible-Hulk-The
