,Date,Rank,Gross,% Change,Theaters,Per Theater,Total Gross,Week,movie
0,"Jul 6, 2018",1,"$75,812,205",,4206,"$18,025","$75,812,205",1,Ant-Man-and-the-Wasp
1,"Jul 13, 2018",2,"$29,097,859",-62%,4206,"$6,918","$133,083,084",2,Ant-Man-and-the-Wasp
2,"Jul 20, 2018",4,"$16,507,156",-43%,3778,"$4,369","$165,005,448",3,Ant-Man-and-the-Wasp
3,"Jul 27, 2018",6,"$8,766,100",-47%,3013,"$2,909","$183,490,227",4,Ant-Man-and-the-Wasp
4,"Aug 3, 2018",7,"$6,364,500",-27%,2233,"$2,850","$195,645,935",5,Ant-Man-and-the-Wasp
5,"Aug 10, 2018",10,"$4,103,636",-36%,1863,"$2,203","$203,573,980",6,Ant-Man-and-the-Wasp
6,"Aug 17, 2018",12,"$2,646,856",-35%,1520,"$1,741","$208,392,506",7,Ant-Man-and-the-Wasp
7,"Aug 24, 2018",14,"$1,791,836",-32%,1178,"$1,521","$211,458,535",8,Ant-Man-and-the-Wasp
8,"Aug 31, 2018",18,"$1,401,414",-22%,830,"$1,688","$213,561,872",9,Ant-Man-and-the-Wasp
9,"Sep 7, 2018",21,"$619,010",-56%,548,"$1,130","$214,822,211",10,Ant-Man-and-the-Wasp
10,"Sep 14, 2018",19,"$389,627",-37%,356,"$1,094","$215,407,418",11,Ant-Man-and-the-Wasp
11,"Sep 21, 2018",23,"$270,228",-31%,260,"$1,039","$215,808,434",12,Ant-Man-and-the-Wasp
12,"Sep 28, 2018",27,"$263,821",-2%,258,"$1,023","$216,154,693",13,Ant-Man-and-the-Wasp
13,"Oct 5, 2018",32,"$134,126",-49%,178,$754,"$216,370,952",14,Ant-Man-and-the-Wasp
14,"Oct 12, 2018",-,"$89,560",-33%,132,$678,"$216,519,500",15,Ant-Man-and-the-Wasp
15,"Oct 19, 2018",38,"$50,528",-44%,105,$481,"$216,600,757",16,Ant-Man-and-the-Wasp
16,"Oct 26, 2018",49,"$25,036",-50%,68,$368,"$216,640,060",17,Ant-Man-and-the-Wasp
