,Date,Rank,Gross,% Change,Theaters,Per Theater,Total Gross,Week,movie
0,"Apr 4, 2014",1,"$95,023,721",,3938,"$24,130","$95,023,721",1,Captain-America-The-Winter-Soldier
1,"Apr 11, 2014",1,"$41,274,861",-57%,3938,"$10,481","$158,883,032",2,Captain-America-The-Winter-Soldier
2,"Apr 18, 2014",1,"$25,587,056",-38%,3825,"$6,689","$200,501,510",3,Captain-America-The-Winter-Soldier
3,"Apr 25, 2014",2,"$16,219,025",-37%,3620,"$4,480","$225,059,241",4,Captain-America-The-Winter-Soldier
4,"May 2, 2014",4,"$7,774,269",-52%,3179,"$2,446","$237,155,480",5,Captain-America-The-Winter-Soldier
5,"May 9, 2014",5,"$5,737,840",-26%,2701,"$2,124","$245,115,585",6,Captain-America-The-Winter-Soldier
6,"May 16, 2014",8,"$3,664,058",-36%,2271,"$1,613","$250,532,304",7,Captain-America-The-Winter-Soldier
7,"May 23, 2014",11,"$1,744,727",-52%,1373,"$1,271","$253,585,725",8,Captain-America-The-Winter-Soldier
8,"May 30, 2014",14,"$627,266",-64%,539,"$1,164","$255,176,550",9,Captain-America-The-Winter-Soldier
9,"Jun 6, 2014",15,"$416,892",-34%,317,"$1,315","$255,863,996",10,Captain-America-The-Winter-Soldier
10,"Jun 13, 2014",20,"$274,842",-34%,223,"$1,232","$256,334,467",11,Captain-America-The-Winter-Soldier
11,"Jun 20, 2014",25,"$196,797",-28%,184,"$1,070","$256,690,279",12,Captain-America-The-Winter-Soldier
12,"Jun 27, 2014",18,"$403,920",+105%,281,"$1,437","$257,225,897",13,Captain-America-The-Winter-Soldier
13,"Jul 4, 2014",23,"$332,370",-18%,251,"$1,324","$257,842,261",14,Captain-America-The-Winter-Soldier
14,"Jul 11, 2014",27,"$213,468",-36%,215,$993,"$258,258,222",15,Captain-America-The-Winter-Soldier
15,"Jul 18, 2014",29,"$181,371",-15%,191,$950,"$258,591,352",16,Captain-America-The-Winter-Soldier
16,"Jul 25, 2014",37,"$136,115",-25%,163,$835,"$258,848,387",17,Captain-America-The-Winter-Soldier
17,"Aug 1, 2014",25,"$398,956",+193%,181,"$2,204","$259,322,890",18,Captain-America-The-Winter-Soldier
18,"Aug 8, 2014",35,"$111,144",-72%,105,"$1,059","$259,657,011",19,Captain-America-The-Winter-Soldier
19,"Aug 15, 2014",50,"$35,058",-68%,65,$539,"$259,746,958",20,Captain-America-The-Winter-Soldier
